random_text;degree;data_points;coeffs;nth_root;constant_nth_root;bisection_initial;secant_initial;newton_initial;newton_root;secant_root;poly_val_newton_root;poly_val_secant_root
PULRS1rbRZ;11;[(0.6827379902086945, 0.6827729931294898), (0.8605446312655013, 0.19457748489735083), (0.8506465274603264, 0.8128199827204629), (0.27891038306217, 0.10689902166698273), (0.6183771906166599, 0.5418264884135766), (0.613399507313538, 0.3512693579156616), (0.7361368680728568, 0.1293129585311965), (0.451631839440338, 0.44782246987923824), (0.1365068312409462, 0.5090866681725321), (0.4402341641712735, 0.1875765733494663), (0.0412592071834289, 0.15914948595968315), (0.30818824579044735, 0.7744581732499234)];[111402742.18601164, -609085309.6230628, 1469617067.675548, -2058438755.4368649, 1851687471.7753117, -1117122749.2464592, 457891527.6579953, -126237107.4469246, 22602621.240800273, -2444325.984399003, 137663.70101876845, -2790.008244811764];3.6666666666666665;-8.703833754058262;[9, -9];[-9, -8];-9;0.041251701792557584;0.04125128883763387;-0.00466081857757672;-0.013675997000973439
ePtMhn5Gfe;11;[(0.2782225534787426, 0.1506891779663454), (0.36656589702993125, 0.30462846375419195), (0.03536464228953162, 0.7510061400774765), (0.3153438445869925, 0.59587753158728), (0.040059144623020626, 0.39266508482188245), (0.18678746739086893, 0.01251484289502014), (0.8827449470494801, 0.02466853160465321), (0.5774621204546869, 0.5114782237932983), (0.5627883141776628, 0.18493714434952335), (0.12747752821402214, 0.5258253883558329), (0.8250577485676417, 0.7319831892141516), (0.6404343725444132, 0.893257149063729)];[7893036.273536059, -35755282.53040626, 69453215.65640104, -75548972.58626404, 50393300.457449295, -21193164.561448142, 5547823.680905321, -850384.1927752199, 63920.66013634915, -657.105949956141, -164.3870321183099, 5.620553215579958];3.6666666666666665;1.6013460737295715;[-2, 2];[1, 2];2;0.8827209663204725;0.999994799379469;0.0027164767297715997;2676.570566387123
LZ5XcXAsiq;5;[(0.6460782686045049, 0.14894441402708603), (0.04746104888375635, 0.23927662319377074), (0.24092978818703226, 0.8546324832308536), (0.3235831211052058, 0.803716193358668), (0.3860317947281262, 0.2572846388226433), (0.32467543471064697, 0.672768178811467)];[-249959.45795707172, 411500.7820615638, -247076.44071789994, 66350.17062777746, -7515.114551715895, 231.84414377894018];2.5;8.832394368267952;[-9, 9];[8, 9];9;0.6461080801107415;0.6461078286529063;-0.0014208788736311817;-0.000152142186209403
YV7ses3QBU;5;[(0.5466727585572665, 0.5657022591523282), (0.10392138244256965, 0.11701900569318469), (0.8547916759169772, 0.7853581709481253), (0.5244977672738624, 0.5373410140891416), (0.5636083913100906, 0.4142669807143625), (0.1488089467943443, 0.5080347866405386)];[4884.5441777708, -10721.670591022541, 8484.807511492168, -2934.4742654887004, 422.2534245957537, -20.404169156955184];2.5;-3.3410853195005132;[3, -3];[-4, -3];-3;0.10128613486260955;0.10128706066678009;-9.018698228047128e-05;-4.671966551939022e-05
gaE0WiHL7t;3;[(0.1609070977331689, 0.9404051959538813), (0.24303857552478125, 0.32410727201810985), (0.0006207923907672885, 0.533079038940027), (0.21454629561917027, 0.9968650304899047)];[-1210.086661885908, 448.1235980760206, -38.39140873074312, 0.5567397235527841];1.5;0.6767601940956274;[-1, 1];[0, 1];1;0.2514106667399935;0.018163396517003286;-5.824229479056697e-05;1.0176997268018795e-05
ITb9dvEnNc;1;[(0.942374772941432, 0.6275645630792437), (0.9225739926138725, 0.3557676954905269)];[13.726573553791681, -12.308012072939057];0.5;-151.4871611876136;[151, -151];[-152, -151];-151;0.8966558205298965;0.8966558205298966;0.0;0.0
W666OXsERq;11;[(0.1014109515702113, 0.5588171481713643), (0.7752536767105497, 0.2698392761061039), (0.8678321146279458, 0.8392118130925373), (0.7351184065690954, 0.43324319027892655), (0.47202112019575737, 0.4017452132697177), (0.45898400423750707, 0.994061997426372), (0.1228635161427235, 0.7746147170354833), (0.386047647843509, 0.6873164108401122), (0.7009621765560455, 0.5731326811247881), (0.053989020982713076, 0.3460155012346524), (0.8629763400006345, 0.12772685524513316), (0.9338312697541125, 0.5304890751337136)];[-37334312.34259372, 212345991.04206634, -530224969.6751645, 763208789.9915859, -698925344.3923348, 423854066.8643334, -171697474.99193564, 45753105.04926362, -7705524.975009439, 763729.2859267052, -39518.97998472686, 800.8280496581787];3.6666666666666665;6.1926188166962595;[-6, 6];[6, 7];6;0.9342960726643467;0.9342939441927638;-0.002518051243100672;-3.2042236171037075e-05
2MQrPsf9sR;7;[(0.15159722541212628, 0.5880536238503639), (0.3901915329168332, 0.5279661001484324), (0.9587841505563004, 0.6846907985381877), (0.22616602775415517, 0.3886208883734362), (0.5177017839051142, 0.7982191445261284), (0.43677113852418925, 0.19919065531597258), (0.6817032356045167, 0.20122562596773552), (0.6188863714427387, 0.7201303413333512)];[-79166.69079026172, 282036.26467171963, -411758.97500658024, 318116.45503739186, -139719.43738866996, 34651.430803544274, -4457.883783422468, 228.4936616655144];3.5;4.720239610107307;[-5, 5];[4, 5];5;0.9594537197216654;0.9594533653938639;-0.0004949130810416591;-0.00012903728000424053
NnPzJdhxEz;3;[(0.20493222806217837, 0.015886994746560967), (0.6277669294247067, 0.3203123298285009), (0.11852744068371646, 0.42279593988764197), (0.6215591594341898, 0.10899991175488999)];[137.7927226554218, -120.41052523845563, 23.16889018023232, -0.861182771923058];1.5;-0.9051701466390872;[1, -1];[-1, 0];-1;0.04890261333794948;0.04890312511771146;-6.412203816030804e-06;-7.604289942175768e-08
KwveOz4Wty;9;[(0.19221857066454784, 0.044169457247098864), (0.2565167096273767, 0.10090165833847142), (0.16529219985576427, 0.17400939647285718), (0.7978832160177575, 0.13934246192831823), (0.7205513880372381, 0.4315551167988052), (0.6031301062576858, 0.45105669238715407), (0.7571293698146324, 0.46143778951080205), (0.42793852282105094, 0.484130209240351), (0.7189800181228699, 0.8580216731216191), (0.3526123091045571, 0.49635710832322977)];[-54351534.58696352, 232207455.30745563, -427295712.20258933, 443269673.1330015, -284911273.2015257, 117370151.79043344, -30924201.217541747, 5017377.821551901, -454535.43719961314, 17520.490008172095];4.5;8.770215752203502;[-9, 9];[8, 9];9;0.7980047729810998;0.7980026745863403;-0.0025240038739866577;-5.979606794426218e-05
tn51IPQyl4;5;[(0.5807985800562975, 0.5378591484419404), (0.6828287862615234, 0.6891156190904378), (0.21271267524556037, 0.9766689639624783), (0.7435116117926653, 0.8857394283420725), (0.8872094703939248, 0.09691154452045558), (0.41636419673619485, 0.7833548274101405)];[-468.21493607780576, 1181.552817906745, -1131.4836376120666, 513.2777091406438, -110.99976126947456, 10.038573580646052];2.5;2.515757653880207;[-3, 3];[2, 3];3;0.8914479505542008;0.8914479557244179;-1.3075732496758974e-07;-2.5320624352787036e-07
ecMGxixj8k;7;[(0.39304046546929083, 0.06979824859088157), (0.8218449492776051, 0.15847651862713086), (0.16338065920030143, 0.18911196384673623), (0.1740527775387979, 0.05149051933659121), (0.22255528558530346, 0.5288644283222115), (0.5794006972226973, 0.4372310755348482), (0.5553184785381432, 0.7073628781769387), (0.4660534694774351, 0.36675612878783004)];[-49055.40301656324, 171900.99454973286, -245689.24639481615, 184773.0120898818, -78598.44295533097, 18819.466009690346, -2338.219623704541, 116.46510048395868];3.5;3.893513266115142;[-4, 4];[3, 4];4;0.9152544927928415;0.9152545511024759;-3.5475027999609665e-06;-1.5673660868742445e-05
aFfOFOYS22;5;[(0.28578189999553893, 0.320015678670335), (0.7324225886309292, 0.707098826280775), (0.12192123728567006, 0.9875865136314917), (0.1751202894856131, 0.8903036237231116), (0.954906375544335, 0.006614787827730506), (0.06516259095592403, 0.25746842296289163)];[681.6482367974317, -1634.4545914456012, 1384.8706404635218, -500.5676518449691, 74.57740642849079, -2.831209670899241];2.5;-1.5163128423947576;[2, -2];[-2, -1];-2;0.05590633998525027;0.05590633418005129;-7.598172055978125e-07;-9.36781821891941e-07
LJrmvutOPf;5;[(0.9368120613979851, 0.5297649416346771), (0.26477661343578796, 0.24208996843123165), (0.5797055698765312, 0.438288201106655), (0.08481467845199997, 0.9782138968578438), (0.2985129385973686, 0.5894173116576543), (0.8401390130305906, 0.6251281656634108)];[-549.3780442572232, 1492.6782216115569, -1486.135910148932, 655.7331146031461, -121.45439690670939, 7.39418027629037];2.5;2.2261581491284432;[-2, 2];[2, 3];2;0.9658865727068161;0.9658860266840235;-1.3876264092438362e-05;-4.0177698856780353e-07
JiIF2MYqig;9;[(0.8999567690376726, 0.35575669529808784), (0.09731183516596786, 0.5816799541566415), (0.5140557995160204, 0.4351702532772984), (0.3706566336099496, 0.9015020629462924), (0.9996924445428359, 0.33393610381430094), (0.4044106488030511, 0.31482846141374066), (0.030607095322279454, 0.6171567762239215), (0.39881229579107036, 0.5229108281569232), (0.5217004351672861, 0.8286536648578132), (0.6863536846890995, 0.5107856433776823)];[3151331.15603654, -14631851.717552485, 28809863.264374103, -31331244.066756785, 20513574.670329634, -8246659.340982931, 1980620.5140242034, -260879.72555345343, 15527.61905883596, -280.32579257746426];4.5;-3.498848388862208;[3, -3];[-4, -3];-3;0.030461990221816376;0.03046291105193186;-0.004054689776637588;-9.655019164256373e-05
hPMakA2IJq;1;[(0.30624092950935833, 0.6647103033017516), (0.8778990277454563, 0.6186663148455236)];[-0.08054462728386236, 0.6893763648281463];0.5;0.47523977238366955;[0, 0];[0, 1];0;8.558936679892831;8.558936679892831;-1.1102230246251565e-16;-1.1102230246251565e-16
5545qQ7XUZ;5;[(0.004277229304054386, 0.5200462509869248), (0.9510965204467456, 0.22584844960229133), (0.8781174809644202, 0.3239288395434955), (0.06207807203590043, 0.34114633931769345), (0.5998244806933418, 0.4597591971205943), (0.47050717266408626, 0.956277514116515)];[-119.8954535172748, 305.1021904962322, -267.5411534423407, 89.68496130708557, -8.015705659391308, 0.5527113368219748];2.5;0.7888589352135534;[-1, 1];[0, 1];1;0.9880374822861936;0.9880374755229513;-7.791738476647936e-09;4.967399791500071e-08
O9OBiq9NeY;3;[(0.4917474505782914, 0.7416523017443453), (0.7901458779880818, 0.17189311499458626), (0.09704492775592144, 0.4562047881291428), (0.2956595613134505, 0.4805001024780726)];[-13.878193664598303, 15.338898210156174, -4.159276212210903, 0.7280678906261989];1.5;0.8093094013915578;[-1, 1];[0, 1];1;0.8170249117845418;0.8170244000361985;-1.1901919449996967e-09;3.5232525674722126e-06
5utA61SCaU;9;[(0.19139810983099426, 0.4681238912661575), (0.8869522604289546, 0.5143983916353314), (0.41375379307908067, 0.3656206288854078), (0.20764492354675912, 0.8870748385107218), (0.1736695580363381, 0.7733977883566888), (0.20344536204828134, 0.03573959306665642), (0.7777057300177148, 0.11851024625895501), (0.7923362979368118, 0.3141606004135449), (0.2743703739441824, 0.6372172135075551), (0.290200757518274, 0.2877198304249273)];[1620171155.4475336, -6491593716.62364, 11012606243.325089, -10359612720.940134, 5953879891.53531, -2171990309.9858155, 504497724.47041553, -72203438.2304754, 5798556.290968111, -199770.0656232115];4.5;-15.062451002227828;[15, -15];[-16, -15];-15;0.1726365686334021;0.17263849090220187;-0.001742313295835629;-0.00013037887401878834
oyOBjzRDL5;11;[(0.2287432052266838, 0.43097598861354913), (0.27114210482915213, 0.4027109070488003), (0.040623487875369735, 0.5411186578477134), (0.5704956578132342, 0.6319469593529854), (0.3971290853671089, 0.1425857779566353), (0.7106629916182885, 0.13130150824348596), (0.43654869121192397, 0.9378187329125571), (0.24337234675032127, 0.9703150965936407), (0.04499696440860246, 0.48652486164278697), (0.8379583957501371, 0.8921802382722975), (0.3326962062214861, 0.19068544836363854), (0.12021915256866167, 0.46342487953857814)];[-1135223799.4638007, 4525985052.147085, -7812625750.6551075, 7676980657.950853, -4747644528.110858, 1927420114.6939147, -519450419.55975574, 91782124.56582867, -10240873.776641075, 671720.2165127004, -22766.85949261584, 303.0968800635783];3.6666666666666665;4.751108465493354;[-5, 5];[4, 5];5;0.8379600684864418;0.8379600372453875;-0.02485112414080959;-0.007723259030001373
BQZkAh7XMX;1;[(0.13284669059281706, 0.7679463989718045), (0.5255949201562286, 0.3571666138106928)];[-1.045911233305226, 0.9068922449702556];0.5;0.8224535439871901;[-1, 1];[0, 1];1;0.8670833777206397;0.8670833777206398;1.1102230246251565e-16;0.0
YXM9xCSAyz;3;[(0.2905061776385447, 0.9055101678889588), (0.4627769487964337, 0.2370959162301366), (0.38273249020815236, 0.8305253834156618), (0.54659083852536, 0.1180822279705902)];[292.4611354343477, -370.55623977384624, 148.61926724385492, -18.166891020805725];1.5;-6.910674015956921;[7, -7];[-7, -6];-7;0.23116939536799752;0.2311683699043025;-1.0487442381190704e-07;-2.490434097168759e-05
JEQLIUWrE6;7;[(0.22615585807019745, 0.5670576641675544), (0.1324922165448733, 0.5624104316697165), (0.2141889378104176, 0.810554875641051), (0.3807304706519713, 0.35038872361451023), (0.30975139171072563, 0.9372380899949179), (0.6115528248844965, 0.9393875346479795), (0.568392894686878, 0.465877544694968), (0.3340685716497591, 0.6319007208201903)];[2304749.011936077, -5797973.581385834, 6032822.371991998, -3359411.187636994, 1079470.1841875687, -199756.103354381, 19655.107929898906, -789.0471224114802];3.5;-6.725796102808643;[7, -7];[-7, -6];-7;0.13059780556469502;0.13059734954680474;-1.8441297697791015e-05;-0.0001620122390022516
Ipe5G4YzdU;1;[(0.25663830518507014, 0.2689230722653996), (0.24438104376332503, 0.3891883009060624)];[-9.811753580396452, 2.7869948820318884];0.5;7.76734047247194;[-8, 8];[7, 8];8;0.28404656305272574;0.2840465630527257;0.0;4.440892098500626e-16
4rQyIueLbX;7;[(0.40499219395680697, 0.6301846469854114), (0.5635712655162229, 0.3403558142860813), (0.02252797036665788, 0.12177727909589242), (0.8319137251747256, 0.6157760565439037), (0.812471456632023, 0.9082256127931028), (0.2187412399595563, 0.8003015912633022), (0.8786171712553787, 0.38682783266330145), (0.22114283448585148, 0.944117251057401)];[-12431.070964443454, 50679.27228399011, -82719.3973390573, 68879.29707293789, -30742.03997353898, 6992.670943616853, -664.874543518411, 11.885415743243072];3.5;2.028369002468479;[-2, 2];[2, 3];2;1.1273690013911473;1.1273688844315133;-5.084965729196256e-05;-1.0613670465176028e-05
juBvWRmW9j;1;[(0.5676902495882626, 0.029694625996503965), (0.6904505741234174, 0.3411158191260796)];[2.536822823732388, -1.4104349559693368];0.5;-1.9893267650202249;[2, -2];[-2, -1];-2;0.5559848101233124;0.5559848101233124;0.0;0.0
0h5IevgFHl;11;[(0.2973964846398197, 0.16984532591983803), (0.22868538482817424, 0.00870735177473192), (0.5504184470544139, 0.7929102891079504), (0.35263721532272607, 0.06770494184479203), (0.20001290564959873, 0.9508951490977392), (0.20989015598669303, 0.060594680482325636), (0.13227679294599604, 0.605877965238653), (0.354927626130365, 0.06373789081289316), (0.2352114616910529, 0.8380610027999058), (0.8825008110653131, 0.6498238756884739), (0.1061360917103985, 0.8119951175412218), (0.0033561112555839934, 0.34076284975567617)];[-138214677918.53287, 454327903032.47174, -637921987495.1241, 506567883908.6094, -252947501726.83344, 83239237622.7312, -18327027427.19707, 2672320476.6506586, -247839142.51848492, 13311500.49021415, -326187.6564078643, 954.1663220851682];3.6666666666666665;6.49568191799607;[-6, 6];[6, 7];6;0.8825008178382012;0.8825008342990323;-7.520028977195352;-27.376084816261482
3ez0l9JM8s;3;[(0.5942186152339768, 0.25571791638062347), (0.8776371858557482, 0.23579444652745218), (0.9451741563782313, 0.3095033787641851), (0.5838582267478193, 0.6304396723288909)];[-330.9181510527289, 803.1491431364248, -637.878922473622, 165.13863631565607];1.5;30.09995151046243;[-30, 30];[30, 31];30;0.974070016315969;0.9740700186554052;-4.336644110480847e-08;-7.885492436798813e-08
lhuqx1N3rR;7;[(0.4886154099461637, 0.15403863392951256), (0.09492960124728189, 0.9639705988364011), (0.9811346764809633, 0.5525205082960948), (0.15971826647982168, 0.1734621671184151), (0.7050506142927029, 0.4933149265374289), (0.5548808995813548, 0.2904396263672736), (0.27688339490255043, 0.37112177211212183), (0.6595903647019146, 0.6323690193933297)];[2392.418229553441, -6186.243453456133, 5316.961232546397, -1140.465473413511, -771.6804374544881, 478.88932900694635, -92.26124851367535, 6.122859054183788];3.5;1.678201384066867;[-2, 2];[1, 2];2;0.9769314142347885;0.9998706976002949;0.00013800513845563245;3.714835895873127
PanG6XzoNU;3;[(0.8705225978074137, 0.47437683488232174), (0.7698356830754519, 0.7626263909087228), (0.6351235509371316, 0.14435693092060708), (0.9690804965779514, 0.76077501168164)];[181.4948221926189, -444.6467128603004, 359.78575804445666, -95.50009873767101];1.5;-20.89308384277845;[21, -21];[-21, -20];-21;0.6258356758084942;0.6258358323402764;-7.725422335624899e-06;-5.143809346463968e-06
SmCSMjQcHe;7;[(0.5634487204360683, 0.5624585366262673), (0.9387596319692432, 0.29316151615042285), (0.8875380926497014, 0.946207592394097), (0.6915088269091485, 0.5775088757009552), (0.6412394424102815, 0.4298866122611025), (0.8857132218343748, 0.2428454029886894), (0.8959726755881526, 0.9149656276524545), (0.13345452046526673, 0.9844864098719008)];[61914308.58368007, -294220164.33885664, 584637316.2534677, -625893300.0411658, 386195959.57470816, -135107348.08655712, 24016430.943929367, -1541349.4352682827];3.5;-58.61000319273118;[59, -59];[-59, -58];-59;0.13345387452791588;0.13345398969907654;-1.272431201301515;-0.8700188074726611
Vhgjnkbak6;11;[(0.1914079458254324, 0.5279041983992667), (0.4639821423879136, 0.7077407444998856), (0.4916092874127501, 0.6296454260387195), (0.6339976469641037, 0.6704889467398862), (0.02948649332405129, 0.5984581372464584), (0.9914664958458199, 0.4530988808968479), (0.06627360133384996, 0.4152768920897695), (0.16688650057549514, 0.7687607459356465), (0.6691884873351539, 0.5904840396652693), (0.16210955816304384, 0.17952742067922323), (0.17515526730375108, 0.37061495348283313), (0.5805642050938336, 0.4753685642468407)];[4971066292.295561, -22148897320.876858, 42568159665.039856, -46346633062.51141, 31547752131.41988, -13976669803.16804, 4069878884.0099845, -769487913.8213699, 91239310.29432487, -6332347.021400191, 224330.2477550114, -2947.9723002571277];3.6666666666666665;-8.835551327599763;[9, -9];[-9, -8];-9;0.029458290731309032;0.029461148620649167;-0.0687816730837767;-0.0010675767712200468
J1cJDtNFzt;5;[(0.01672087008785983, 0.2380276915440951), (0.3813612713825284, 0.9850985611747335), (0.8593148369101542, 0.22323627501187637), (0.20317654251198436, 0.4608042200844892), (0.12489777247712941, 0.5451387453678318), (0.3490239765738993, 0.10370510771369534)];[-3686.2911563990747, 5688.629789413484, -2684.9377295413738, 478.2415180089842, -28.404252503566674, 0.5913732410458612];2.5;0.8104844142783987;[-1, 1];[0, 1];1;0.8596061160455334;0.008448316676839974;-0.0002233487582962157;0.383948985607644
igsQoMqo8g;5;[(0.7340359514625353, 0.42972441496153446), (0.2902562644504084, 0.7034134746722996), (0.16338877490843684, 0.4517096659733746), (0.7447128158345702, 0.6351437682856121), (0.005642976302981717, 0.5755508715590765), (0.26524033714181405, 0.7837913589339798)];[-664.366882658559, 1426.4099495084538, -1032.8986972576258, 288.5715482154267, -26.957321989483916, 0.7186655238707681];2.5;0.8762150824134395;[-1, 1];[0, 1];1;0.9173679611649624;0.09765196326309765;-1.4331893596342127e-06;-4.971795347974428e-06
CUObsi1zjT;11;[(0.1818990726391282, 0.3850216519234111), (0.5554103467232423, 0.9467610170029251), (0.375473007191937, 0.14868380947311544), (0.40749950641175703, 0.8841003985301509), (0.31657517710212135, 0.24424849044264285), (0.4284290876748351, 0.480725310600165), (0.3935434868739026, 0.6023602868411428), (0.19387222739999221, 0.5840292912558169), (0.4031286083242265, 0.22711961540937342), (0.33272214037486814, 0.7493370768651648), (0.5923513806424671, 0.30627694291873486), (0.28703266152265805, 0.22074042262189697)];[-22047648093175.703, 89659859438618.22, -163897383912223.16, 177738326052601.5, -127023476860363.12, 62798002031999.86, -21907253403460.082, 5390480396785.549, -916382635909.3524, 102448154704.00839, -6774646148.031296, 200621418.84041554];3.6666666666666665;183.7742747443567;[-184, 184];[183, 184];184;0.5923529122449719;0.5923527132493335;-5.4862344563007355;-4.733847051858902
