random_text,degree,data_points,coeffs,nth_root,text_decimal,text_hexa,coeffs_min_text,constant_nth_root,bisection_initial,secant_initial,newton_initial,x_coords,y_coords
F9NQWtCdB7,9,"[(0.266536290755624, 0.4057288290378809), (0.27051559363767785, 0.6166637971786639), (0.09347516696370695, 0.44361923182805796), (0.20342486445554142, 0.22218816475809688), (0.544472525503029, 0.08805249665854342), (0.6431648191848919, 0.8601727166781281), (0.16352964498556843, 0.7478083982953008), (0.3828015037543232, 0.1956881886776013), (0.8280384985739996, 0.22181898753351037), (0.4795985634723142, 0.1273813161709465)]","[-28315584.708305877, 101736994.14775965, -155659330.4169196, 132739571.46710044, -69298244.8501033, 22884073.50892257, -4761283.386580238, 599396.5414913573, -41240.15810549109, 1174.878494448205]",4.5,331622761601041539809847,0x46394e51577443644237,"[-28315584.708305877, 101736994.14775965, -155659330.4169196, 132739571.46710044, -69298244.8501033, 22884073.50892257, -4761283.386580238, 599396.5414913573, -41240.15810549109, -3.3162276160104155e+23]",4.810837155776214,"[-5, 5]","[4, 5]",5,"(0.266536290755624, 0.4057288290378809)","(0.27051559363767785, 0.6166637971786639)"
kiglCghfVI,11,"[(0.48230860236572404, 0.745481116542186), (0.2718763549410357, 0.7086225962543883), (0.7797846956830135, 0.7006509813309193), (0.08545823605136516, 0.6943898253190599), (0.6613914385455835, 0.03161171825939191), (0.9461063642719603, 0.4610471771631355), (0.7006651549781054, 0.8836580632394401), (0.9280339205815983, 0.5503134664190414), (0.9857837612531946, 0.3721954828271459), (0.781984638685655, 0.2916427522779099), (0.8838817528202361, 0.2056803019779131), (0.7016450190651898, 0.44499191215678957)]","[-15083094913.603464, 112905067815.99371, -377797474350.99976, 744215663657.1454, -956121785149.7131, 837958639907.3696, -508568958659.8904, 212195550748.5613, -59011865048.640625, 10241409776.105541, -968674910.6352332, 35520951.374994904]",3.6666666666666665,507237574200386344343113,0x6b69676c436768665649,"[-15083094913.603464, 112905067815.99371, -377797474350.99976, 744215663657.1454, -956121785149.7131, 837958639907.3696, -508568958659.8904, 212195550748.5613, -59011865048.640625, 10241409776.105541, -968674910.6352332, -5.072375742003863e+23]",114.61014705735012,"[-115, 115]","[114, 115]",115,"(0.48230860236572404, 0.745481116542186)","(0.2718763549410357, 0.7086225962543883)"
DDUrHxcVZg,5,"[(0.5856381142385261, 0.8842522247705574), (0.9997854692753236, 0.37056825475288835), (0.9730017492767661, 0.676134030080792), (0.1307708466385139, 0.8754133805378036), (0.6053876781185946, 0.3784517105746603), (0.8262640570626157, 0.43160218667148753)]","[867.011164039604, -3299.00428130791, 4707.381340028978, -3068.659277845026, 862.6973743918453, -69.0586307734522]",2.5,322381456495470592809575,0x44445572487863565a67,"[867.011164039604, -3299.00428130791, 4707.381340028978, -3068.659277845026, 862.6973743918453, -3.223814564954706e+23]",-5.441105983840937,"[5, -5]","[-6, -5]",-5,"(0.5856381142385261, 0.8842522247705574)","(0.9997854692753236, 0.37056825475288835)"
vMD1HzA9qo,1,"[(0.24860714618220725, 0.7682663121887809), (0.6626451643736432, 0.4780978532039477)]","[-0.7008256397620716, 0.9424965744613492]",0.5,558664558060652126105967,0x764d4431487a4139716f,"[-0.7008256397620716, -5.586645580606521e+23]",0.8882997928713775,"[-1, 1]","[0, 1]",1,"(0.24860714618220725, 0.7682663121887809)","(0.6626451643736432, 0.4780978532039477)"
UTa3vGv81i,9,"[(0.5079945821465366, 0.9595772216154639), (0.05040605436219203, 0.2767064059805211), (0.9183814039878065, 0.3802972424905974), (0.22925688740467154, 0.5934116192173573), (0.18626833983677926, 0.696806707563763), (0.5043508000462033, 0.662809165417798), (0.14247536865238652, 0.14739677182966437), (0.9177628296736136, 0.7090396432923172), (0.27008787631010733, 0.09383467148745606), (0.597542345576965, 0.21136052636273572)]","[-1398803.8927976945, 5320413.433582647, -8419404.206827907, 7243246.683697237, -3724134.9386938456, 1185865.9140099597, -233608.75942961624, 27220.75668417184, -1658.4497922201972, 38.073635272690986]",4.5,402957681618006234902889,0x55546133764776383169,"[-1398803.8927976945, 5320413.433582647, -8419404.206827907, 7243246.683697237, -3724134.9386938456, 1185865.9140099597, -233608.75942961624, 27220.75668417184, -1658.4497922201972, -4.0295768161800626e+23]",2.245173225709953,"[-2, 2]","[2, 3]",2,"(0.5079945821465366, 0.9595772216154639)","(0.05040605436219203, 0.2767064059805211)"
icyk0F8kVT,9,"[(0.7356842205844693, 0.7008475675066083), (0.5173355092732115, 0.6596971492835996), (0.9991274661110786, 0.9415773542085151), (0.06454077977880879, 0.33007414628226284), (0.4649467711601952, 0.6492690835395835), (0.21761337829813432, 0.6295142556418891), (0.36279117826977847, 0.7294921666486173), (0.9924570668034073, 0.4715585335549588), (0.48005196056081734, 0.572836434500706), (0.9931208705265754, 0.6199132806571193)]","[-1450883.213547878, 6864705.988225207, -13820138.29304786, 15483749.582305074, -10594406.17431134, 4563861.325852923, -1226154.882501971, 194876.7141493978, -16099.110110805894, 488.88190939402375]",4.5,497683457504389242771028,0x6963796b3046386b5654,"[-1450883.213547878, 6864705.988225207, -13820138.29304786, 15483749.582305074, -10594406.17431134, 4563861.325852923, -1226154.882501971, 194876.7141493978, -16099.110110805894, -4.9768345750438924e+23]",3.9591402035795253,"[-4, 4]","[3, 4]",4,"(0.7356842205844693, 0.7008475675066083)","(0.5173355092732115, 0.6596971492835996)"
melztUpfBt,7,"[(0.45344827975883295, 0.2933821574089296), (0.6104931548754291, 0.7486932644092343), (0.32253581959318445, 0.8198387549991357), (0.5685252834903959, 0.5245018396398818), (0.24337151506155674, 0.35937058969613234), (0.4352181235456848, 0.6118655228340312), (0.6008822915602696, 0.48594027543001916), (0.7115572997824186, 0.025975363676721264)]","[-3216943.393270696, 10863392.941468492, -15465487.410346624, 12018025.086050594, -5497897.679887056, 1478281.1084468742, -215925.38409697014, 13192.015998409614]",3.5,516608884472249554715252,0x6d656c7a745570664274,"[-3216943.393270696, 10863392.941468492, -15465487.410346624, 12018025.086050594, -5497897.679887056, 1478281.1084468742, -215925.38409697014, -5.1660888447224955e+23]",15.039443367647428,"[-15, 15]","[15, 16]",15,"(0.45344827975883295, 0.2933821574089296)","(0.6104931548754291, 0.7486932644092343)"
XjtWFHuMAx,3,"[(0.01858025355687065, 0.07459239425440989), (0.09987992017555314, 0.545341222371396), (0.7691695263199038, 0.5768328113094195), (0.7766473818300248, 0.27913007147122526)]","[-67.5975408274681, 52.34994346504871, 0.41204534109349833, 0.04929753160093776]",1.5,417531988610850384331128,0x586a74574648754d4178,"[-67.5975408274681, 52.34994346504871, 0.41204534109349833, -4.1753198861085036e+23]",0.13444669044350321,"[0, 0]","[0, 1]",0,"(0.01858025355687065, 0.07459239425440989)","(0.09987992017555314, 0.545341222371396)"
q76FyW8TD5,7,"[(0.5868125613089162, 0.9012191253273519), (0.3742119175752552, 0.46669096146287603), (0.02981957391093981, 0.8895053805289161), (0.5592828662442505, 0.43523739574113307), (0.031182366671399175, 0.37835698927174277), (0.8360750355119942, 0.2623989091381337), (0.5337934518538457, 0.6026794891519569), (0.6432092010064834, 0.7329732365856753)]","[392991.65451560536, -1180227.8908394761, 1404788.2269991625, -833842.9965601692, 251396.60896807563, -33419.17218924104, 1050.6031493402693, -6.761436982776923]",3.5,534645894435065866503221,0x71373646795738544435,"[392991.65451560536, -1180227.8908394761, 1404788.2269991625, -833842.9965601692, 251396.60896807563, -33419.17218924104, 1050.6031493402693, -5.3464589443506586e+23]",-1.726449984716867,"[2, -2]","[-2, -1]",-2,"(0.5868125613089162, 0.9012191253273519)","(0.3742119175752552, 0.46669096146287603)"
qeKbdxoUgR,3,"[(0.7622129139999225, 0.78014208047719), (0.6757674543602971, 0.23083376700071923), (0.6049825735917426, 0.2329662627462602), (0.9780632391154743, 0.8431251654854374)]","[-162.59578012909617, 372.7832993057651, -277.2367660508911, 67.5191633250648]",1.5,535495965730283562821458,0x71654b6264786f556752,"[-162.59578012909617, 372.7832993057651, -277.2367660508911, -5.354959657302836e+23]",16.581279297352395,"[-17, 17]","[16, 17]",17,"(0.7622129139999225, 0.78014208047719)","(0.6757674543602971, 0.23083376700071923)"
xxV4YgSMbN,3,"[(0.6126800542086919, 0.514587475696967), (0.20703244573686186, 0.08585852620020373), (0.23375508990632066, 0.7160912857961826), (0.49436720847987337, 0.9176895591087476)]","[168.50626712624276, -236.96650443976557, 103.4512470038336, -12.670255296215814]",1.5,568903798921288936677966,0x787856345967534d624e,"[168.50626712624276, -236.96650443976557, 103.4512470038336, -5.6890379892128895e+23]",-5.434883557938198,"[5, -5]","[-6, -5]",-5,"(0.6126800542086919, 0.514587475696967)","(0.20703244573686186, 0.08585852620020373)"
kqKQgaSkzJ,3,"[(0.11463355698830302, 0.7656137925318158), (0.36864586242456776, 0.11687304216639138), (0.5917459505254595, 0.9873782470949102), (0.7560426459473729, 0.48319950322475436)]","[-49.14867992953124, 66.36713115283378, -25.2257091535846, 2.8592426052479625]",1.5,507383122980074884397642,0x6b714b516761536b7a4a,"[-49.14867992953124, 66.36713115283378, -25.2257091535846, -5.073831229800749e+23]",2.0145003061316324,"[-2, 2]","[2, 3]",2,"(0.11463355698830302, 0.7656137925318158)","(0.36864586242456776, 0.11687304216639138)"
FxK1KitLHR,11,"[(0.3405351778146556, 0.07330687136578051), (0.9907233116740054, 0.5906573301992547), (0.8094843895625388, 0.025511529699792646), (0.8620581748942587, 0.05222997059223089), (0.30354849043350285, 0.07415244056184955), (0.7729063347071174, 0.21946000679664301), (0.78855448921204, 0.8489595104063429), (0.9033924086758965, 0.11186132775181001), (0.7119343272518975, 0.7625559746921936), (0.3384449384686107, 0.8910408149791782), (0.5143996088449561, 0.9173539993679721), (0.7600780827329029, 0.5010080073145521)]","[25524771716.11582, -186619632794.12753, 612398039779.6195, -1189521993039.8262, 1518113874411.4976, -1335248075283.0835, 824973993749.1569, -357645222696.31635, 106500747116.81131, -20726527404.074142, 2370696499.083999, -120670682.11103345]",3.6666666666666665,332784681284463309375570,0x46784b314b69744c4852,"[25524771716.11582, -186619632794.12753, 612398039779.6195, -1189521993039.8262, 1518113874411.4976, -1335248075283.0835, 824973993749.1569, -357645222696.31635, 106500747116.81131, -20726527404.074142, 2370696499.083999, -3.3278468128446344e+23]",-159.98276900968264,"[160, -160]","[-160, -159]",-160,"(0.3405351778146556, 0.07330687136578051)","(0.9907233116740054, 0.5906573301992547)"
nFYntvtEFd,5,"[(0.520292928864093, 0.7020584983356036), (0.6183508957879112, 0.9450334056063494), (0.7821551387973276, 0.9766950973496363), (0.9035733852968483, 0.2647713093552815), (0.5256612494998606, 0.5290921779889167), (0.2391852353680235, 0.835855058537463)]","[13505.098072721616, -41376.99510608029, 48911.8764369687, -27670.42063829708, 7399.3422634054, -730.4073331339343]",2.5,520758029416989561538148,0x6e46596e747674454664,"[13505.098072721616, -41376.99510608029, 48911.8764369687, -27670.42063829708, 7399.3422634054, -5.2075802941698956e+23]",-13.977388931431927,"[14, -14]","[-14, -13]",-14,"(0.520292928864093, 0.7020584983356036)","(0.6183508957879112, 0.9450334056063494)"
kqxgtX641F,7,"[(0.866776408431177, 0.35117228848092297), (0.69746641075188, 0.5910000832256721), (0.030119031885655123, 0.7522529101061419), (0.30998333649792953, 0.2618524831332616), (0.9611639441333473, 0.5152659411723932), (0.376289601646976, 0.6423777873637863), (0.0811506684347072, 0.8285104211225698), (0.6738152689965666, 0.2871857664965066)]","[7977.813391841002, -27169.044717774104, 36485.34758352224, -24462.084500465935, 8524.04868631758, -1445.7750432597904, 95.70736731993108, -1.032470007699342]",3.5,507386371778510585082182,0x6b717867745836343146,"[7977.813391841002, -27169.044717774104, 36485.34758352224, -24462.084500465935, 8524.04868631758, -1445.7750432597904, 95.70736731993108, -5.073863717785106e+23]",-1.0091715164388042,"[1, -1]","[-2, -1]",-1,"(0.866776408431177, 0.35117228848092297)","(0.69746641075188, 0.5910000832256721)"
NKmaC5Sd9h,11,"[(0.49898725603866834, 0.5537968135355156), (0.11614118481819047, 0.10349863766902001), (0.3064124044527241, 0.33591984430006805), (0.5382143323846236, 0.88628649599583), (0.5106644126821194, 0.5066243451140403), (0.8154360707863042, 0.9699324220588453), (0.39454123554869336, 0.1677648081793427), (0.9482385856830149, 0.2637841265339801), (0.3633288646003656, 0.37436677135555907), (0.19566592287453044, 0.7677596458734792), (0.3797955477381011, 0.29736929142767765), (0.43640052443720345, 0.5792396464155248)]","[-3371246007.7380733, 17212395446.31971, -38921110146.132576, 51443678859.59981, -44143181105.76132, 25800686127.730377, -10467932883.103226, 2942644475.8119183, -560179303.5730486, 68520105.52947272, -4821757.199641777, 146829.2045654589]",3.6666666666666665,369735973124079729523048,0x4e4b6d61433553643968,"[-3371246007.7380733, 17212395446.31971, -38921110146.132576, 51443678859.59981, -44143181105.76132, 25800686127.730377, -10467932883.103226, 2942644475.8119183, -560179303.5730486, 68520105.52947272, -4821757.199641777, -3.6973597312407974e+23]",25.652557343609992,"[-26, 26]","[25, 26]",26,"(0.49898725603866834, 0.5537968135355156)","(0.11614118481819047, 0.10349863766902001)"
ZZXQqu4cR5,3,"[(0.19879937168094342, 0.24052413599404754), (0.015292857337430799, 0.5960124501286256), (0.6431817978096324, 0.2437896461388136), (0.7938216295609851, 0.29308112853945256)]","[-3.2874683043340367, 5.915219177819399, -3.0629116039128297, 0.6414814770663645]",1.5,426679554417398584136245,0x5a5a5851717534635235,"[-3.2874683043340367, 5.915219177819399, -3.0629116039128297, -4.266795544173986e+23]",0.7437998395792281,"[-1, 1]","[0, 1]",1,"(0.19879937168094342, 0.24052413599404754)","(0.015292857337430799, 0.5960124501286256)"
xvZDRAldbq,11,"[(0.7428836733500359, 0.28159324492402604), (0.3691045166144149, 0.009483475849273448), (0.11113414411758404, 0.7290634065738711), (0.5688191527781602, 0.19899895358968223), (0.9184167815024485, 0.38170999678970463), (0.5234922798469507, 0.5622794551262877), (0.0033839632767379557, 0.42998683261782455), (0.4452549396039007, 0.6064721616414208), (0.024782680490267328, 0.3437680132534823), (0.6177975819664835, 0.6317782464336865), (0.32254987923595635, 0.7408348748425269), (0.01878329113060717, 0.16535547570057585)]","[-9059562.4773969, 41679772.81210509, -82559958.66783416, 92114171.48185676, -63559638.14590772, 28019350.631613694, -7869975.613323608, 1362006.103281885, -135205.5566873005, 6712.104859552738, -118.00893003446544, 0.757527141614392]",3.6666666666666665,568867198159257927443057,0x78765a4452416c646271,"[-9059562.4773969, 41679772.81210509, -82559958.66783416, 92114171.48185676, -63559638.14590772, 28019350.631613694, -7869975.613323608, 1362006.103281885, -135205.5566873005, 6712.104859552738, -118.00893003446544, -5.688671981592579e+23]",0.9270616148834536,"[-1, 1]","[0, 1]",1,"(0.7428836733500359, 0.28159324492402604)","(0.3691045166144149, 0.009483475849273448)"
75Mpfp5ctH,3,"[(0.47978118978873163, 0.336682170919517), (0.5567041439231548, 0.910064489706427), (0.9219376647010951, 0.6512333079546183), (0.7154936382079122, 0.6125171021667248)]","[102.26457634305834, -218.73830838271329, 151.62448469016573, -33.352708875587794]",1.5,260713414066307523114056,0x37354d70667035637448,"[102.26457634305834, -218.73830838271329, 151.62448469016573, -2.6071341406630753e+23]",-10.361454918763766,"[10, -10]","[-11, -10]",-10,"(0.47978118978873163, 0.336682170919517)","(0.5567041439231548, 0.910064489706427)"
Pl0PcyY9zK,9,"[(0.056169877335144114, 0.5012940908484679), (0.9757639081035158, 0.14697925358263653), (0.04178608029020425, 0.03205396856713327), (0.7291049246633416, 0.8200353200155284), (0.518944263531119, 0.6815208238661656), (0.5195995578038887, 0.7899414479532917), (0.6025422687739085, 0.30115375211386597), (0.10405495646356422, 0.0006907756372485085), (0.23619106577099513, 0.4248202893549783), (0.08498467381331232, 0.08182601214272722)]","[-444149.2121500036, 801696.589019827, 259743.95138215786, -1584808.9132080686, 1470018.1859542842, -624225.5800719581, 134877.14395257147, -14724.778478697417, 755.7844608958982, -13.95526671407554]",4.5,379785048381417045195339,0x506c3050637959397a4b,"[-444149.2121500036, 801696.589019827, 259743.95138215786, -1584808.9132080686, 1470018.1859542842, -624225.5800719581, 134877.14395257147, -14724.778478697417, 755.7844608958982, -3.79785048381417e+23]",-1.7963305402244905,"[2, -2]","[-2, -1]",-2,"(0.056169877335144114, 0.5012940908484679)","(0.9757639081035158, 0.14697925358263653)"
CVAX5mtymR,13,"[(0.273738070697783, 0.7084922043453703), (0.24247768338957243, 0.17430072459944534), (0.29273098363954486, 0.6719029471722426), (0.9942792639151298, 0.1634716061386572), (0.7242155324688526, 0.5845653030229808), (0.472911861608843, 0.1843362531653171), (0.9854820116921817, 0.9042120736802393), (0.4217729691742361, 0.6308565182160003), (0.797616722730254, 0.24869252428841393), (0.32648857519553653, 0.46318370791052677), (0.8581008948154124, 0.514373529973936), (0.3008550218623226, 0.5722830830706062), (0.18612337355217756, 0.83111780970691), (0.11975994915287713, 0.2396144511742463)]","[-5440969491.502769, 36328262932.0264, -108689970000.07481, 192654229516.19772, -225405026130.83902, 183603219192.3748, -107007808111.25949, 45143724548.64801, -13775938461.309813, 3001347688.9141855, -453480837.3457933, 44960028.03907431, -2618641.5148356874, 67557.85875126321]",4.333333333333333,317989682914759888432466,0x43564158356d74796d52,"[-5440969491.502769, 36328262932.0264, -108689970000.07481, 192654229516.19772, -225405026130.83902, 183603219192.3748, -107007808111.25949, 45143724548.64801, -13775938461.309813, 3001347688.9141855, -453480837.3457933, 44960028.03907431, -2618641.5148356874, -3.179896829147599e+23]",13.017889680140199,"[-13, 13]","[13, 14]",13,"(0.273738070697783, 0.7084922043453703)","(0.24247768338957243, 0.17430072459944534)"
qLSC8qNw5a,9,"[(0.043713247938859445, 0.08773241910832119), (0.5160540837076676, 0.9394077817173071), (0.8703359921699788, 0.6381454130782249), (0.003410669822807022, 0.1325692885819877), (0.3448842686826158, 0.3104133726295124), (0.15295785622369384, 0.26440931366431986), (0.08941437953857578, 0.12205713141209185), (0.6480444191190097, 0.24069749797471662), (0.8197295160331243, 0.14157027163604885), (0.24181144646772934, 0.26856409392112257)]","[19874.377638603546, -79089.49673407536, 128629.06185086607, -109565.38301092346, 52044.26055390161, -13553.217283363228, 1754.6616803795587, -83.1004430670933, 0.20836316344879702, 0.13275750416682344]",4.5,535035364815059721598305,0x714c534338714e773561,"[19874.377638603546, -79089.49673407536, 128629.06185086607, -109565.38301092346, 52044.26055390161, -13553.217283363228, 1754.6616803795587, -83.1004430670933, 0.20836316344879702, -5.3503536481505975e+23]",0.6384461020770679,"[-1, 1]","[0, 1]",1,"(0.043713247938859445, 0.08773241910832119)","(0.5160540837076676, 0.9394077817173071)"
ZeV1fvnX6i,1,"[(0.702732829823903, 0.2178796670384745), (0.9633996772552924, 0.5948896579703099)]","[1.4463288854984477, -0.7985031235239013]",0.5,426882315467732698019433,0x5a65563166766e583669,"[1.4463288854984477, -4.268823154677327e+23]",-0.6376072382774267,"[1, -1]","[-1, 0]",-1,"(0.702732829823903, 0.2178796670384745)","(0.9633996772552924, 0.5948896579703099)"
0N2aRSrMkw,7,"[(0.5084095052436366, 0.33711177837143425), (0.9015041025867244, 0.3505653423872118), (0.9779507731352275, 0.9148753061428122), (0.00817563933820642, 0.39884057019328856), (0.7384817295284973, 0.6177398009960346), (0.0024291230383145512, 0.5934589845170954), (0.8903535244997541, 0.47957784167164863), (0.3032924228526298, 0.06635786044243774)]","[5041.570374820941, -16856.80370582939, 21610.410235718435, -13040.861199331903, 3523.736255218323, -244.78013524009876, -31.587743471329247, 0.6715838042437737]",3.5,228116067488785306053495,0x304e32615253724d6b77,"[5041.570374820941, -16856.80370582939, 21610.410235718435, -13040.861199331903, 3523.736255218323, -244.78013524009876, -31.587743471329247, -2.281160674887853e+23]",0.8924832235540852,"[-1, 1]","[0, 1]",1,"(0.5084095052436366, 0.33711177837143425)","(0.9015041025867244, 0.3505653423872118)"
